Time,Proc,Avg
120,2,577
987,3,921
2509,4,2052
1058,5,2130
3724,6,2120
1277,7,2693
5628,8,9224
2176,9,6831
3592,10,7919
4136,11,3422
1481,2,11598
2742,12,
1656,3,
6468,4,
2653,5,
1821,6,
3912,7,
3796,8,
3524,9,
1900,10,
1649,11,
2013,2,
3309,12,
2309,3,
823,4,
1261,5,
924,6,
1972,7,
3896,8,
35733,9,
5301,10,
2140,11,
239,2,
3814,12,
992,3,
994,4,
865,5,
7935,6,
9498,7,
882,8,
1759,9,
3726,10,
4996,11,
479,2,
62529,12,
1753,3,
6299,4,
5082,5,
785,6,
2078,7,
72099,8,
15763,9,
55251,10,
12473,11,
246,2,
3467,12,
448,3,
489,4,
765,5,
1761,6,
2250,7,
1148,8,
2838,9,
2790,10,
4620,11,
161,2,
3440,12,
405,3,
513,4,
895,5,
735,6,
1405,7,
1418,8,
2846,9,
3001,10,
2495,11,
1031,2,
2229,12,
490,3,
2423,4,
8717,5,
3512,6,
4536,7,
3373,8,
3667,9,
3631,10,
1715,11,
34454,12,
