Time,Proc,Avg
2548,2,1480
1067,3,1408
4360,4,3399
1346,5,1289
2584,6,2190
2358,7,1438
5251,8,6367
3451,9,3201
3885,10,4163
11483,11,4637
1818,2,5694
4376,12,
568,3,
8387,4,
974,5,
4591,6,
2021,7,
5953,8,
3567,9,
2803,10,
5323,11,
4938,12,
1500,2,
431,3,
4091,4,
1576,5,
2795,6,
2298,7,
8826,8,
1369,9,
4743,10,
3461,11,
1425,2,
9757,12,
8549,3,
4537,4,
1142,5,
1466,6,
2536,7,
11801,8,
2975,9,
14151,10,
8926,11,
2120,2,
11029,12,
1704,3,
2580,4,
984,5,
2381,6,
982,7,
6526,8,
13576,9,
2043,10,
10312,11,
2446,2,
3608,12,
663,3,
4062,4,
942,5,
3331,6,
1055,7,
14379,8,
1082,9,
5989,10,
3023,11,
10068,12,
1524,2,
535,3,
2542,4,
3117,5,
3406,6,
1702,7,
5615,8,
2299,9,
4979,10,
1791,11,
1449,2,
2619,12,
561,3,
3415,4,
2746,5,
1135,6,
1435,7,
5638,8,
3660,9,
3346,10,
2049,11,
10542,12,
