Time,Proc,Avg
2556,2,3650
3036,3,2016
3049,4,2912
3227,5,2220
23642,6,5868
3855,7,3170
4896,8,5501
2675,9,3454
3086,10,5420
5261,11,4351
1534,2,4466
5523,12,
2660,3,
1889,4,
2824,5,
3520,6,
4470,7,
4925,8,
3090,9,
6200,10,
3362,11,
12267,12,
1525,2,
2405,3,
3715,4,
2093,5,
4188,6,
2689,7,
6466,8,
3868,9,
5395,10,
6996,11,
7837,12,
2546,2,
2148,3,
3435,4,
2890,5,
5132,6,
3816,7,
9937,8,
4448,9,
9687,10,
4520,11,
1464,2,
3462,12,
3291,4,
2604,3,
2393,5,
9104,6,
3983,7,
5385,8,
5139,9,
4821,10,
8286,11,
2599,12,
3432,2,
2870,3,
4509,4,
2665,5,
4772,6,
5277,7,
4315,8,
6274,9,
11600,10,
5102,11,
4123,12,
19446,2,
1880,3,
5349,4,
2575,5,
3131,6,
3778,7,
8865,8,
3337,9,
8594,10,
6371,11,
4321,12,
3926,2,
2568,3,
3729,4,
3470,5,
5549,6,
3833,7,
10355,8,
5840,9,
4847,10,
3422,11,
4781,12,
