Time,Proc,Avg
45,2,46
87,3,90
118,4,122
156,5,162
192,6,206
254,7,258
301,8,315
46,2,
90,3,
139,4,
159,5,
208,6,
250,7,
321,8,
64,2,
94,3,
123,4,
172,5,
196,6,
289,7,
315,8,
46,2,
93,3,
126,4,
160,5,
206,6,
264,7,
321,8,
48,2,
88,3,
117,4,
159,5,
212,6,
281,7,
312,8,
43,2,
91,3,
124,4,
156,5,
214,6,
250,7,
317,8,
46,2,
90,3,
125,4,
154,5,
196,6,
243,7,
303,8,
45,2,
88,3,
117,4,
167,5,
237,6,
261,7,
334,8,
45,2,
88,3,
119,4,
174,5,
200,6,
277,7,
307,8,
46,2,
94,3,
131,4,
161,5,
225,6,
242,7,
318,8,
